name	latitude	longitude	visit_cnt
F67	59.93333	19.83	30
F69	59.78333	19.93	136
F71	59.50117	20.38783	41
F79	58.45	20.16667	26
F80	58.0	19.89683	128
F9	64.70033	22.06283	72
F90A	57.0	17.38333	12
FK1	65.45033	22.87933	14
FK2	65.40033	23.11267	23
FK3	65.35033	23.32933	18
FK5	65.20033	23.89617	33
FÅ10	60.03333	19.16333	16
FÅ11	60.06667	19.24667	26
FÅ12	60.1	19.39667	21
FÅ13	60.11667	19.51333	20
FÅ14A	60.15	18.97983	23
FÅ17	60.28333	18.92983	23
FÅ18	60.3	19.07983	28
FÅ19	60.33333	19.12983	19
FÅ2	59.78333	19.64667	14
FÅ4	59.85	19.33	17
FÅ5	59.88333	19.41333	11
FÅ6	59.93333	19.54667	18
FÅ7	59.96667	19.68	19
FÅ8	60.0	19.79667	17
FÅ9	60.01667	19.01333	22
GE4	60.85	20.4965	12
GF1	59.705	24.68217	68
GF2	59.8385	25.85683	84
GF3	59.787	27.12017	13
GF4	59.543	27.76517	15
GF6	60.3385	28.00183	19
GR6	57.4	23.75	18
GR7	57.43333	24.11667	14
GR8	59.4415	22.901833	12
GR9	57.6	23.61667	12
H02_E1_4	59.367667	22.720667	100
HA1	56.93667	18.82667	30
HA2	56.93167	18.89833	33
HA3	56.92833	19.05	23
HA4	56.94167	19.36667	23
HA5	56.93833	19.81	24
HA6	56.955	20.06	27
HA7	56.95833	20.15	26
HA8	56.95	20.26667	29
HA9	56.95833	20.41	32
HBP115	55.05	15.75	26
HBP133	55.33333	15.73333	39
HBP134	55.2	15.75	14
HBP136	54.81667	15.75	28
HBP137	54.68333	15.75	26
HBP212	55.48333	15.31667	43
HBP213	55.55	15.11667	54
HBP215	55.61667	14.86667	32
HBP216	55.68333	14.7	28
HKI.KAS.	59.95017	24.9635	27
HL1	56.49167	18.83333	32
HL2	56.48333	18.95	27
HL3	56.48333	19.28667	21
HL4	56.48333	19.56667	31
HL5	56.48333	19.76667	22
HL6	56.48333	19.96667	29
HL7	56.48	20.08333	28
I3	65.53367	24.56283	31
IBSV1	58.91667	18.68	13
IBSV10	58.35	21.24683	50
IBSV2	58.86667	18.91333	11
IBSV3	58.81667	19.19667	16
IBSV4	58.7	19.63017	14
IBSV5	58.65	19.9135	14
IBSV6	58.6	20.14683	12
IBSV7	58.56667	20.29683	17
IBSV8	58.5	20.63017	18
IBSV9	58.43333	20.94683	50
II1	65.30033	23.62933	32
II2	65.13367	24.16283	28
III1	64.85033	23.21283	14
IS10	61.45017	20.87983	16
IS6	61.46667	19.31317	12
IS7	61.46683	19.7965	17
IS8	61.45	20.2465	20
IS9	61.45017	20.56317	16
IU1	60.76683	20.84667	79
IU2	60.5835	21.13	72
IU3	60.33333	21.11333	55
IU4	60.23333	21.14667	45
IU5	60.05817	21.19833	72
IU6	59.93683	21.221	55
IU7	59.81517	21.33667	92
IX1	61.1835	20.1465	12
JML	59.58183	23.62683	144
JML87	59.59017	23.6335	11
JP3:19	59.9835	25.63017	90
JÄÄ85	64.50033	22.69783	31
KALA3	64.63867	22.3795	13
KALA4	64.57533	22.69617	14
KALA5	64.512	23.01283	13
KALA6	64.447	23.32783	12
KALA7	64.38367	23.63283	12
KROGARVIKEN	59.845817	23.24935	2540
KUS1	60.74983	18.5135	15
KUS2	60.66667	18.96683	11
Krunnit	65.359767	24.917783	532
KÅ2	62.35	18.513	20
KÅ3	62.30017	18.84633	20
KÅ4	62.25017	19.263	22
KÅ5	62.2335	19.67967	32
KÅ6	62.20017	20.07967	35
KÅ7	62.20017	20.363	28
KÅ8	62.20017	20.663	31
KÅ9	62.20017	20.99633	22
L/VKEMI	65.417	24.21283	13
LANGDEN	59.75683	23.23183	60
LF1	57.9825	21.28067	42
LF2	57.98333	21.08333	32
LF3	57.99167	20.76667	39
LF4	57.99167	20.41667	33
LF5	57.98683	20.10483	30
LL10	59.6335	23.64683	39
LL10A	59.50017	23.64683	36
LL11	59.5835	23.29683	266
LL11A	59.6335	23.33017	11
LL12	59.4835	22.89683	322
LL12A	59.60017	22.89683	33
LL12B	59.35017	22.89683	26
LL13	59.36667	22.4635	149
LL13S	59.41683	22.49683	23
LL14	59.28333	22.1135	40
LL15	59.18333	21.74683	165
LL15A	59.21333	21.60517	23
LL15PA	59.31667	21.51683	38
LL15S	59.295	21.47017	13
LL16	59.11667	21.4135	22
LL17	59.03333	21.0795	211
LL18	58.96667	20.73017	16
LL19	58.88067	20.31083	126
LL20	58.83333	19.69683	18
LL21	58.78383	19.09433	42
LL22	58.68333	18.66333	16
LL23	58.58333	18.23333	105
LL3	60.15017	26.33033	52
LL3A	60.06717	26.34667	222
LL3B/IV	60.11683	26.31367	12
LL4	59.9835	25.997	26
LL4A	60.01683	26.08017	75
LL5	59.91683	25.597	232
LL6	59.8835	25.19683	43
LL6A	59.91683	25.03017	78
LL7	59.8465	24.83782	737
LL7S	59.85017	24.83017	14
LL8	59.76683	24.43017	51
LL8A	59.76683	24.43017	27
LL9	59.70017	24.03017	326
LOVIISA11	60.2835	26.43033	27
LOVIISA9	60.3335	26.38017	11
LÅNGSKÄR	59.81683	23.28017	17
MEK1	63.308333	20.503333	11
MEK2	63.396667	20.538333	13
MEK4	63.47	20.693333	13
MEK6	63.69517	21.7295	11
MS10	61.6835	20.9965	44
MS10A	61.8335	20.82983	15
MS10B	61.7335	21.02983	19
MS10E	61.77517	20.86317	12
MS11	61.6335	21.26317	17
MS2	62.11667	17.84633	23
MS2A	61.91667	17.913	20
MS3	62.1345	18.163	46
MS3A	61.93333	18.163	43
MS4	62.101	18.552	31
MS4A	61.88333	18.54633	42
MS5	62.03333	18.82967	14
MS5A	61.85	18.913	41
MS6	61.98367	19.1635	47
MS6A	61.85	19.313	45
MS7	61.91683	19.63017	32
MS7A	61.85	19.67967	48
MS8	61.85017	20.05517	106
MS9	61.76683	20.5305	84
MS9A	61.8335	20.37983	44
MS9B	61.80017	20.71317	33
NAR2	59.6435	27.07683	18
NAR3	59.7355	27.38133	17
OREA	55.79167	12.685	14
OREB	55.79667	12.75	27
OREC	55.8	12.83333	13
ORED	55.73167	12.67	14
OREE	55.735	12.83333	13
POIJU88	62.338333	20.783333	12
PORIKU4	61.54017	20.61983	14
PORVOO2	60.25017	25.58017	21
RR1	64.967	21.86267	40
RR2	64.98367	22.046	11
RR3	64.93367	22.346	99
RR4	64.88367	22.796	47
RR5	64.83367	23.16283	107
RR6	64.80033	23.4795	107
